Test,TargetSendRate,Success,Fail,SendRate,MaxLatency,MinLatency,AvgLatency,Throughput
requestPermits,1000,2022,8058,964.3,0.81,0.32,0.47,947.6
requestPermits,100,1056,0,105.4,0.58,0.14,0.36,103.8
requestPermits,1100,2131,8909,1058.5,1.45,0.27,0.65,1028.6
requestPermits,1200,1741,10259,1108.4,2.72,0.21,0.85,1070.1
requestPermits,125,1344,0,129.7,0.58,0.17,0.37,127.4
requestPermits,1300,1493,11563,1119.1,3.57,0.25,1.15,1097.5
requestPermits,1400,2274,11742,1361.3,2.98,0.57,1.76,1290.6
requestPermits,1500,1677,13395,1401.3,5.76,0.59,2.62,1285.8
requestPermits,150,1536,0,153.4,0.58,0.15,0.37,151.1
requestPermits,1600,1553,14479,1529.6,5.24,0.59,3.03,1335.1
requestPermits,1700,1382,15706,1608.1,6.88,0.63,3.92,1395.7
requestPermits,175,1735,89,178.9,0.59,0.23,0.40,174.8
requestPermits,1800,1510,16538,1676.9,5.79,0.68,3.10,1560.7
requestPermits,1900,1491,17517,1797.3,5.65,0.89,3.13,1595.6
requestPermits,2000,1201,18863,1904.0,8.43,0.72,4.26,1662.7
requestPermits,200,1785,231,202.6,0.59,0.06,0.31,196.5
requestPermits,2100,1067,19957,1968.4,9.05,0.72,5.34,1697.8
requestPermits,2200,1296,20784,1853.1,8.18,0.88,4.04,1691.3
requestPermits,225,1920,384,226.2,0.58,0.07,0.30,224.6
requestPermits,2300,1113,21927,2101.2,8.21,1.06,4.74,1812.3
requestPermits,2400,1248,22752,2021.2,9.79,0.48,4.43,1905.2
requestPermits,2500,944,24112,2366.9,9.94,1.16,5.40,1989.2
requestPermits,250,1967,625,250.5,0.57,0.12,0.32,243.3
requestPermits,25,288,0,35.6,0.57,0.15,0.37,35.0
requestPermits,2600,1265,24751,2052.9,10.10,0.65,5.38,1971.1
requestPermits,2700,1385,25687,2164.2,10.48,0.23,5.21,2069.6
requestPermits,275,1922,862,273.9,0.57,0.14,0.33,261.9
requestPermits,2800,930,27102,2599.6,11.02,1.37,7.57,2106.9
requestPermits,2900,869,28219,2400.0,10.57,0.21,7.43,2368.2
requestPermits,3000,979,29069,2520.6,11.29,1.85,8.37,2026.8
requestPermits,300,1963,1109,297.6,0.57,0.16,0.35,288.9
requestPermits,3100,944,30064,2837.2,10.95,1.32,7.70,2243.1
requestPermits,3200,753,31311,2935.5,12.85,1.29,9.75,2221.1
requestPermits,325,1920,1344,322.1,0.58,0.19,0.36,307.2
requestPermits,3300,1064,31960,2259.9,10.92,0.62,5.17,2171.5
requestPermits,3400,716,33364,3123.5,12.26,2.82,9.46,2500.6
requestPermits,3500,603,34437,3209.4,11.78,1.65,8.94,2627.3
requestPermits,350,1946,1606,346.4,0.60,0.21,0.37,333.9
requestPermits,3600,794,35206,3361.7,12.59,2.64,9.12,2365.5
requestPermits,3700,673,36383,3277.6,12.45,3.00,9.66,2641.0
requestPermits,375,1968,1872,369.3,0.60,0.18,0.38,360.8
requestPermits,3800,773,37243,3485.8,12.93,1.43,8.96,2461.9
requestPermits,3900,788,38284,3548.8,14.27,1.90,10.94,2433.6
requestPermits,4000,624,39408,3570.8,13.31,1.79,10.17,2724.0
requestPermits,400,1931,2101,395.3,0.61,0.25,0.39,379.1
requestPermits,4100,665,40423,3554.6,14.30,2.96,10.21,2531.0
requestPermits,4200,775,41273,3737.6,14.88,4.22,10.44,2377.7
requestPermits,425,1972,2348,417.0,0.59,0.16,0.39,405.5
requestPermits,4300,735,42273,3873.9,15.42,3.00,10.64,2386.0
requestPermits,4400,750,43314,3711.0,14.00,2.73,9.87,2628.0
requestPermits,4500,705,44319,3635.7,15.13,3.59,11.44,2527.0
requestPermits,450,1943,2569,441.5,0.60,0.19,0.40,424.7
requestPermits,4600,743,45337,4006.6,13.73,2.38,9.97,2539.0
requestPermits,4700,509,46531,3930.8,15.69,2.09,11.58,2756.4
requestPermits,475,1957,2843,464.8,0.63,0.19,0.40,450.6
requestPermits,4800,734,47266,3894.8,17.66,2.91,10.73,2450.7
requestPermits,4900,905,48151,3922.9,15.21,3.13,10.38,2373.5
requestPermits,5000,679,49337,3823.9,18.00,3.19,12.64,2518.0
requestPermits,500,1978,3110,488.0,0.62,0.17,0.41,477.6
requestPermits,50,576,0,57.7,0.57,0.17,0.36,56.7
requestPermits,525,1951,3329,515.3,0.62,0.25,0.42,495.9
requestPermits,550,1958,3610,538.8,0.62,0.23,0.42,523.1
requestPermits,575,1962,3798,563.3,0.62,0.25,0.43,541.6
requestPermits,600,1969,4079,587.4,0.63,0.25,0.43,567.4
requestPermits,625,1986,4350,610.2,0.62,0.22,0.43,594.0
requestPermits,650,1938,4590,635.5,0.65,0.26,0.44,612.2
requestPermits,675,1952,4864,661.3,0.68,0.31,0.44,638.6
requestPermits,700,1932,5076,680.9,0.66,0.24,0.44,657.1
requestPermits,725,1973,5323,706.7,0.68,0.25,0.44,683.0
requestPermits,750,1972,5612,733.5,0.67,0.30,0.45,709.6
requestPermits,75,768,0,81.9,0.58,0.15,0.36,80.6
requestPermits,775,1965,5811,754.1,0.65,0.25,0.45,728.0
requestPermits,800,1942,6122,781.8,0.71,0.33,0.46,753.3
requestPermits,825,1937,6319,800.5,0.69,0.27,0.46,771.8
requestPermits,850,1952,6592,828.4,0.70,0.31,0.46,798.1
requestPermits,875,1953,6879,852.5,0.72,0.33,0.46,824.6
requestPermits,900,1976,7048,870.2,0.90,0.27,0.46,842.5
requestPermits,925,1976,7336,896.3,0.80,0.30,0.46,868.7
requestPermits,950,2010,7494,911.5,0.79,0.25,0.46,889.9
requestPermits,975,2025,7767,937.5,0.82,0.30,0.46,919.0
requestPermits,1000,2034,8046,969.8,0.80,0.34,0.47,939.5
requestPermits,100,1056,0,105.6,0.57,0.16,0.36,103.9
requestPermits,1100,2432,8608,1057.9,0.95,0.31,0.46,1035.3
requestPermits,1200,2975,9025,1153.2,1.07,0.26,0.54,1119.4
requestPermits,125,1344,0,129.6,0.58,0.17,0.37,127.4
requestPermits,1300,2753,10303,1248.8,1.90,0.24,0.98,1199.1
requestPermits,1400,2370,11646,1332.1,3.07,0.37,1.50,1283.0
requestPermits,1500,1650,13422,1440.2,4.76,0.58,2.57,1334.5
requestPermits,150,1536,0,154.0,0.58,0.17,0.37,151.2
requestPermits,1600,1785,14247,1510.3,5.20,0.64,2.52,1391.3
requestPermits,1700,1645,15443,1562.7,5.38,0.68,2.94,1470.7
requestPermits,175,1375,449,178.2,2.10,0.18,0.60,174.9
requestPermits,1800,1750,16298,1677.2,5.75,0.69,2.73,1521.6
requestPermits,1900,1387,17621,1774.8,6.79,0.58,3.98,1563.5
requestPermits,2000,1286,18778,1744.8,8.31,0.54,4.19,1667.3
requestPermits,200,1804,212,202.4,0.59,0.07,0.32,196.5
requestPermits,2100,1184,19840,1956.6,7.68,1.15,4.52,1757.4
requestPermits,2200,1328,20752,1989.7,6.13,0.46,3.06,1899.2
requestPermits,225,1912,392,226.7,0.59,0.06,0.30,224.7
requestPermits,2300,1193,21847,2109.7,10.41,1.08,6.06,1657.6
requestPermits,2400,1088,22912,2108.0,8.76,0.91,5.11,1915.1
requestPermits,2500,1294,23762,1963.6,9.78,0.19,5.50,1888.7
requestPermits,250,1943,649,250.7,0.58,0.11,0.32,241.7
requestPermits,25,288,0,35.7,0.58,0.15,0.36,35.0
requestPermits,2600,929,25087,2109.8,10.43,0.40,6.06,2043.0
requestPermits,2700,1186,25886,2128.3,9.71,0.21,5.94,2106.0
requestPermits,275,1920,864,275.2,0.63,0.14,0.34,261.6
requestPermits,2800,817,27215,2280.9,11.00,0.20,8.03,2244.5
requestPermits,2900,850,28238,2616.1,10.34,1.10,6.74,2197.8
requestPermits,3000,1236,28812,2746.1,10.10,1.73,5.95,2108.8
requestPermits,300,1950,1122,298.9,0.58,0.17,0.35,288.5
requestPermits,3100,770,30238,2744.3,11.22,1.27,8.45,2433.1
requestPermits,3200,827,31237,2887.3,12.36,1.33,9.29,2225.4
requestPermits,325,1920,1344,321.3,0.58,0.17,0.36,307.3
requestPermits,3300,881,32143,3015.9,10.84,1.55,7.32,2409.8
requestPermits,3400,824,33256,2892.1,10.83,1.48,6.05,2341.8
requestPermits,3500,782,34258,3182.0,13.14,2.24,9.97,2317.2
requestPermits,350,1962,1590,344.1,0.57,0.13,0.37,333.8
requestPermits,3600,987,35013,3395.3,12.91,1.91,8.88,2123.8
requestPermits,3700,563,36493,3492.2,11.99,2.07,8.72,2754.7
requestPermits,375,1912,1928,369.0,1.11,0.16,0.39,360.2
requestPermits,3800,793,37223,3573.9,12.35,1.89,8.59,2321.9
requestPermits,3900,603,38469,3567.6,13.68,1.42,8.96,2489.8
