Test,TargetSendRate,Success,Fail,SendRate,MaxLatency,MinLatency,AvgLatency,Throughput
logBeacons,100,1152,0,106.1,2.19,0.09,0.32,88.6
logBeacons,120,1344,0,125.7,2.16,0.09,0.30,104.9
logBeacons,140,1536,0,145.6,2.20,0.09,0.30,120.9
logBeacons,160,1728,0,164.4,2.17,0.08,0.33,136.7
logBeacons,180,1920,0,184.0,0.89,0.12,0.50,173.3
logBeacons,200,2112,0,203.6,2.15,0.13,1.01,168.7
logBeacons,20,384,0,26.1,2.23,0.08,0.36,22.8
logBeacons,220,2304,0,222.7,2.94,0.10,1.55,174.0
logBeacons,240,2496,0,242.3,4.19,0.12,2.19,172.9
logBeacons,260,2784,0,261.6,5.82,0.11,3.15,169.4
logBeacons,280,2976,0,281.5,6.62,0.11,3.42,173.5
logBeacons,300,3168,0,301.3,7.76,0.10,4.06,173.9
logBeacons,320,3360,0,320.7,9.25,0.20,4.81,171.1
logBeacons,340,3552,0,339.9,10.28,0.11,5.42,172.0
logBeacons,360,3744,0,358.5,11.42,0.10,5.97,171.5
logBeacons,380,3936,0,377.3,12.83,0.11,6.63,170.6
logBeacons,400,4128,0,395.1,13.85,0.10,7.29,170.5
logBeacons,40,576,0,46.8,2.22,0.08,0.38,39.9
logBeacons,420,4320,0,415.1,14.94,0.11,7.94,171.3
logBeacons,440,4512,0,436.4,16.46,0.11,8.62,169.3
logBeacons,460,4704,0,455.6,18.13,0.24,9.19,168.6
logBeacons,480,4896,0,474.2,18.68,0.11,9.77,169.6
logBeacons,500,5184,0,494.3,20.41,0.12,10.48,169.4
logBeacons,520,5376,0,514.1,22.87,0.12,11.13,168.8
logBeacons,540,5568,0,532.5,22.91,0.13,11.64,170.1
logBeacons,560,5760,0,551.4,23.98,0.12,12.56,167.9
logBeacons,580,5952,0,570.9,25.15,0.11,13.21,168.0
logBeacons,600,6144,0,590.0,25.99,0.10,13.62,169.0
logBeacons,60,768,0,66.8,2.20,0.08,0.33,56.3
logBeacons,80,960,0,86.5,1.30,0.08,0.32,84.1
