Test,TargetSendRate,Success,Fail,SendRate,MaxLatency,MinLatency,AvgLatency,Throughput
requestPermits,100,1152,0,106.6,2.15,0.08,0.30,89.0
requestPermits,120,1344,0,126.1,4.28,0.08,1.26,94.6
requestPermits,140,1536,0,145.6,2.13,0.07,0.29,121.5
requestPermits,160,1728,0,165.5,2.18,0.08,0.30,137.4
requestPermits,180,1920,0,184.9,0.72,0.08,0.34,174.9
requestPermits,200,2112,0,204.6,2.13,0.09,0.72,169.8
requestPermits,20,384,0,26.2,2.44,0.09,0.42,22.9
requestPermits,220,2304,0,224.1,2.31,0.10,1.20,183.6
requestPermits,240,2496,0,244.1,3.80,0.21,1.96,178.2
requestPermits,260,2784,0,262.7,4.52,0.10,2.31,184.4
requestPermits,280,2976,0,282.8,5.73,0.11,3.04,183.4
requestPermits,300,3168,0,301.8,7.14,0.11,3.70,180.2
requestPermits,320,3360,0,321.9,8.55,0.10,4.49,177.5
requestPermits,340,3552,0,341.3,9.64,0.10,4.95,177.6
requestPermits,360,3744,0,360.4,10.66,0.09,5.57,178.4
requestPermits,380,3936,0,379.9,11.91,0.10,6.05,177.0
requestPermits,400,4128,0,398.2,12.80,0.10,6.56,178.7
requestPermits,40,576,0,47.0,2.70,0.08,0.61,38.6
requestPermits,420,4320,0,419.3,13.56,0.09,7.01,181.4
requestPermits,440,4512,0,438.8,14.91,0.10,7.58,179.3
requestPermits,460,4704,0,458.1,16.05,0.10,8.23,179.5
requestPermits,480,4896,0,476.5,17.11,0.10,8.68,179.7
requestPermits,500,5184,0,497.0,19.43,0.09,9.56,178.4
requestPermits,520,5376,0,516.8,20.01,0.09,10.11,178.3
requestPermits,540,5568,0,535.2,20.66,0.10,10.49,179.9
requestPermits,560,5760,0,555.1,22.03,0.09,11.15,179.6
requestPermits,580,5952,0,574.9,23.06,0.10,11.82,178.6
requestPermits,600,6144,0,593.2,24.05,0.10,12.27,179.0
requestPermits,60,768,0,67.1,4.11,0.08,1.32,56.7
requestPermits,80,960,0,86.8,1.11,0.08,0.29,83.2
requestPermits,100,1152,0,106.7,2.15,0.07,0.28,89.3
requestPermits,120,1344,0,126.0,2.14,0.08,0.29,105.2
requestPermits,140,1536,0,146.0,2.22,0.08,0.30,121.2
requestPermits,160,1728,0,165.4,2.19,0.08,0.30,137.2
requestPermits,180,1920,0,184.9,0.85,0.10,0.51,174.0
requestPermits,200,2112,0,204.5,2.17,0.09,1.01,169.2
requestPermits,20,384,0,26.2,2.19,0.08,0.35,22.9
requestPermits,220,2304,0,224.2,2.94,0.09,1.54,177.2
requestPermits,240,2496,0,243.5,3.73,0.09,1.97,179.0
requestPermits,260,2784,0,263.0,5.05,0.10,2.60,178.5
requestPermits,280,2976,0,282.4,6.41,0.09,3.43,176.7
requestPermits,300,3168,0,301.5,7.33,0.11,3.81,178.0
requestPermits,320,3360,0,321.6,8.32,0.09,4.33,179.6
requestPermits,340,3552,0,341.6,9.69,0.09,4.96,176.9
requestPermits,360,3744,0,360.9,10.51,0.09,5.47,179.5
requestPermits,380,3936,0,379.2,11.91,0.09,6.21,177.2
