Test,TargetSendRate,Success,Fail,SendRate,MaxLatency,MinLatency,AvgLatency,Throughput
addOperators,1000,10080,0,935.6,5.19,0.11,1.74,914.0
addOperators,100,1056,0,105.2,0.62,0.11,0.36,104.0
addOperators,125,1344,0,129.4,2.21,0.12,0.65,127.5
addOperators,150,1536,0,153.1,0.63,0.11,0.37,151.2
addOperators,175,1824,0,178.0,0.61,0.05,0.37,174.8
addOperators,2000,16707,3357,1753.2,11.84,0.48,7.65,1325.8
addOperators,200,2016,0,200.9,0.63,0.05,0.32,196.5
addOperators,225,2304,0,225.0,0.62,0.06,0.32,214.4
addOperators,2500,19269,5787,1536.6,13.08,1.05,6.02,1418.6
addOperators,250,2592,0,249.1,0.62,0.06,0.32,241.9
addOperators,25,288,0,35.3,0.63,0.07,0.34,35.0
addOperators,275,2784,0,273.0,0.63,0.06,0.32,259.9
addOperators,3000,17579,12469,2119.3,14.25,0.56,9.59,1661.4
addOperators,300,3072,0,294.9,0.62,0.07,0.33,287.6
addOperators,325,3264,0,324.4,0.67,0.06,0.33,318.1
addOperators,3500,15415,19625,2577.2,15.85,0.62,12.95,1883.6
addOperators,350,3552,0,344.8,0.67,0.07,0.33,331.3
addOperators,375,3840,0,368.1,0.82,0.08,0.35,356.9
addOperators,4000,12105,27927,2193.9,16.32,0.50,11.80,2092.4
addOperators,400,4032,0,394.3,0.95,0.07,0.34,377.2
addOperators,425,4320,0,414.7,0.90,0.07,0.35,403.8
addOperators,450,4512,0,435.3,0.80,0.07,0.35,421.1
addOperators,475,4800,0,458.5,0.88,0.08,0.36,449.3
addOperators,500,5088,0,491.6,1.06,0.09,0.36,475.9
addOperators,50,576,0,57.4,0.62,0.11,0.38,56.7
addOperators,525,5280,0,514.6,0.98,0.09,0.37,490.8
addOperators,550,5568,0,537.5,1.10,0.09,0.37,520.2
addOperators,575,5760,0,565.5,1.13,0.10,0.38,538.1
addOperators,600,6048,0,578.0,1.02,0.11,0.38,564.7
addOperators,625,6336,0,600.2,1.02,0.11,0.38,590.7
addOperators,650,6528,0,626.5,1.09,0.11,0.39,609.5
addOperators,675,6816,0,654.9,1.09,0.10,0.40,635.9
addOperators,700,7008,0,678.0,1.17,0.12,0.41,654.1
addOperators,725,7296,0,706.8,1.36,0.12,0.42,680.8
addOperators,750,7584,0,727.2,1.60,0.12,0.43,708.1
addOperators,75,768,0,82.6,0.61,0.21,0.38,80.7
addOperators,775,7776,0,724.9,1.49,0.10,0.43,690.6
addOperators,800,8064,0,784.0,1.62,0.12,0.46,749.4
addOperators,825,8256,0,798.1,1.60,0.11,0.46,769.1
addOperators,850,8544,0,823.5,1.80,0.15,0.47,800.3
addOperators,875,8832,0,844.0,1.68,0.14,0.49,827.0
addOperators,900,9024,0,864.5,1.69,0.15,0.48,844.7
addOperators,925,9312,0,871.5,1.82,0.11,0.53,836.9
addOperators,950,9504,0,898.7,1.49,0.10,0.51,859.9
addOperators,975,9792,0,927.2,1.86,0.11,0.54,890.1
