Test,TargetSendRate,Success,Fail,SendRate,MaxLatency,MinLatency,AvgLatency,Throughput
addOperators,100,1152,0,103.8,2.10,0.07,0.24,87.5
addOperators,120,1344,0,123.5,2.11,0.07,0.25,103.8
addOperators,140,1536,0,141.7,2.11,0.07,0.21,119.2
addOperators,160,1728,0,161.5,2.14,0.07,0.27,135.3
addOperators,180,1920,0,178.2,1.09,0.16,0.59,172.5
addOperators,200,2112,0,200.1,2.13,0.15,1.12,166.9
addOperators,20,384,0,26.1,2.75,0.07,0.42,22.8
addOperators,220,2304,0,220.6,3.08,0.10,1.94,171.7
addOperators,240,2496,0,237.9,9.65,0.10,4.74,138.9
addOperators,260,2784,0,256.3,4.90,0.14,2.73,178.3
addOperators,280,2976,0,279.5,6.79,0.12,3.78,171.7
addOperators,300,3168,0,298.7,7.47,0.11,4.15,176.1
addOperators,320,3360,0,310.4,8.43,0.13,4.55,176.2
addOperators,340,3552,0,333.6,13.25,0.13,5.84,149.2
addOperators,360,3744,0,351.0,10.36,0.09,5.50,179.1
addOperators,380,3936,0,374.0,11.51,0.10,6.12,179.2
addOperators,400,4128,0,388.4,12.59,0.10,6.69,178.9
addOperators,40,576,0,45.9,2.13,0.07,0.31,39.4
addOperators,420,4320,0,414.0,13.74,0.13,7.35,179.3
addOperators,440,4512,0,430.9,15.06,0.12,7.82,177.4
addOperators,460,4704,0,449.4,20.09,0.14,12.21,155.3
addOperators,480,4896,0,463.0,24.61,0.07,12.51,156.8
addOperators,500,5184,0,487.0,23.27,0.13,13.32,157.6
addOperators,520,5376,0,512.2,20.47,0.11,10.21,177.7
addOperators,540,5568,0,530.2,27.44,0.34,16.50,148.5
addOperators,560,5760,0,548.2,28.66,0.34,17.30,149.0
addOperators,580,5952,0,562.3,27.27,0.39,15.66,158.7
addOperators,600,6144,0,580.6,28.25,0.16,16.07,159.6
addOperators,60,768,0,65.4,2.14,0.07,0.26,55.5
addOperators,80,960,0,85.2,1.00,0.08,0.23,84.3
addOperators,100,1152,0,103.4,3.95,0.08,1.55,86.7
addOperators,120,1344,0,124.2,4.15,0.08,1.98,103.5
addOperators,140,1536,0,141.8,3.09,0.08,1.31,120.0
addOperators,160,1728,0,164.9,6.16,0.23,3.04,107.1
addOperators,180,1920,0,178.0,0.88,0.07,0.42,176.8
addOperators,200,2112,0,201.2,5.95,0.10,3.99,133.0
addOperators,20,384,0,25.9,2.56,0.09,0.36,22.7
addOperators,220,2304,0,219.1,9.85,0.15,6.96,120.8
addOperators,240,2496,0,235.4,11.67,0.12,6.91,114.6
addOperators,260,2784,0,259.2,13.47,0.54,8.48,124.1
addOperators,280,2976,0,279.4,10.08,0.12,6.46,146.1
addOperators,300,3168,0,294.1,9.58,0.16,6.14,156.6
addOperators,320,3360,0,319.1,13.87,0.43,8.40,144.5
addOperators,340,3552,0,339.6,14.17,0.28,9.05,145.4
addOperators,360,3744,0,353.8,20.40,0.11,14.10,121.5
addOperators,380,3936,0,372.9,15.48,0.09,9.30,152.3
