test,requested rate (tps),succ,fail,send rate (tps),max latency (s),min latency (s),avg latency (s),throughput (tps)
logBeacons,1000,1122,8958,973.3,54.41,0.42,32.26,157.2
logBeacons,100,1004,52,105.9,3.81,0.24,0.96,82.7
logBeacons,10,192,0,19.2,0.65,0.22,0.43,18.8
logBeacons,110,1094,58,115.8,5.06,0.27,1.34,86.2
logBeacons,120,1170,78,125.4,6.22,0.25,1.77,84.8
logBeacons,130,1249,95,135.3,6.60,0.28,2.08,89.7
logBeacons,140,1320,120,144.9,7.69,0.28,2.48,91.8
logBeacons,150,1423,113,154.3,8.86,0.26,3.18,92.2
logBeacons,160,1485,147,164.3,9.12,0.30,3.48,101.1
logBeacons,170,1540,188,173.7,10.79,0.27,4.09,100.2
logBeacons,180,1583,241,183.2,10.15,0.27,4.19,109.9
logBeacons,190,1497,423,192.8,12.26,0.12,5.02,107.1
logBeacons,200,1510,506,202.5,13.07,0.12,5.18,106.1
logBeacons,20,288,0,28.8,0.65,0.23,0.44,28.1
logBeacons,210,1530,582,212.1,13.54,0.12,5.60,109.6
logBeacons,220,1525,683,221.7,14.67,0.13,6.29,110.6
logBeacons,230,1526,778,231.2,15.92,0.09,6.69,109.3
logBeacons,240,1540,860,240.8,15.70,0.09,6.66,116.0
logBeacons,250,1552,1040,250.9,17.36,0.06,7.35,116.4
logBeacons,25,288,0,35.6,0.64,0.21,0.42,34.7
logBeacons,260,1580,1108,259.8,17.67,0.06,7.65,121.2
logBeacons,270,1515,1269,270.3,19.45,0.07,8.62,115.5
logBeacons,280,1526,1354,279.2,20.28,0.06,9.02,116.4
logBeacons,290,1529,1447,289.9,21.15,0.08,9.40,118.5
logBeacons,300,1597,1475,298.6,21.90,0.07,9.34,119.8
logBeacons,30,384,0,38.6,0.63,0.26,0.44,37.5
logBeacons,310,1574,1594,307.7,23.14,0.08,10.27,117.7
logBeacons,320,1546,1718,317.5,23.93,0.07,10.55,118.0
logBeacons,330,1597,1763,327.8,23.40,0.06,10.12,124.8
logBeacons,340,1543,1913,337.7,25.05,0.07,11.19,120.6
logBeacons,350,1537,2015,347.6,27.14,0.07,12.05,117.4
logBeacons,360,1532,2116,355.6,26.76,0.07,11.85,121.8
logBeacons,370,1588,2156,366.0,27.02,0.10,12.00,124.6
logBeacons,380,1578,2262,376.3,28.28,0.08,12.87,122.2
logBeacons,390,1611,2325,387.6,29.17,0.10,13.23,121.3
logBeacons,400,1543,2489,396.5,30.27,0.10,13.77,122.1
logBeacons,40,480,0,48.2,0.65,0.28,0.47,46.9
logBeacons,425,1619,2701,416.8,32.81,0.11,14.97,120.6
logBeacons,450,1563,2949,442.6,36.36,0.12,16.69,115.0
logBeacons,475,1586,3214,467.7,35.69,0.09,16.04,124.5
logBeacons,500,1595,3493,492.7,39.18,0.10,17.82,122.4
logBeacons,50,576,0,58.1,0.66,0.29,0.48,56.3
logBeacons,525,1600,3680,515.4,38.30,0.11,17.85,128.8
logBeacons,550,1623,3945,538.4,41.13,0.13,19.18,127.2
logBeacons,575,1575,4185,565.6,44.11,0.19,20.98,123.5
logBeacons,600,1577,4471,588.7,47.25,0.17,22.64,121.3
logBeacons,60,672,0,67.6,0.63,0.27,0.44,65.8
logBeacons,625,1659,4677,610.8,49.76,0.16,24.35,121.4
logBeacons,650,1676,4852,633.6,49.62,0.17,24.28,125.4
logBeacons,675,1486,5330,659.6,50.81,0.23,25.74,128.6
logBeacons,700,1488,5520,683.0,50.65,0.23,26.85,132.7
logBeacons,70,768,0,77.5,0.66,0.30,0.48,75.1
logBeacons,725,1483,5813,707.9,53.02,0.24,27.86,132.1
logBeacons,750,1457,6127,731.4,53.99,0.25,28.86,135.4
logBeacons,775,1401,6375,751.4,51.81,0.24,28.96,144.2
logBeacons,800,1426,6638,780.9,58.72,0.29,31.23,133.4
logBeacons,80,851,13,86.9,2.22,0.26,0.57,71.9
logBeacons,825,1393,6863,788.0,55.48,0.24,31.97,143.8
logBeacons,850,1216,7328,826.0,59.26,0.34,30.74,132.4
logBeacons,875,1348,7484,851.6,60.65,0.31,35.61,129.5
logBeacons,900,1341,7683,875.1,60.27,0.33,35.44,145.2
logBeacons,90,930,30,96.7,3.02,0.28,0.77,76.5
logBeacons,925,1198,8114,900.0,58.81,0.36,33.86,133.7
logBeacons,950,912,8592,926.6,56.32,0.35,26.13,166.2
logBeacons,975,1151,8641,950.3,59.82,0.46,33.56,141.0
logBeacons,1000,842,9238,975.8,59.16,0.46,26.57,147.4
logBeacons,100,996,60,106.0,3.89,0.24,0.97,82.3
logBeacons,10,192,0,19.3,0.65,0.29,0.47,18.7
logBeacons,120,1192,56,125.5,6.08,0.28,1.79,85.6
logBeacons,130,1245,99,135.1,6.98,0.29,2.26,87.1
logBeacons,140,1346,94,144.5,7.79,0.24,2.67,90.2
logBeacons,150,1429,107,154.4,8.66,0.26,3.20,92.4
logBeacons,160,1495,137,163.9,9.44,0.26,3.43,96.8
logBeacons,170,1516,212,173.4,9.86,0.26,3.81,101.4
logBeacons,180,1542,282,183.2,11.72,0.26,4.89,101.8
logBeacons,190,1518,402,192.5,11.67,0.14,4.88,108.8
logBeacons,200,1542,474,202.8,13.22,0.12,5.51,105.4
logBeacons,20,288,0,28.9,0.64,0.26,0.45,28.2
logBeacons,210,1504,608,212.1,14.09,0.13,5.75,107.9
logBeacons,220,1535,673,221.7,14.24,0.10,5.93,110.0
logBeacons,230,1484,820,232.0,14.83,0.09,6.21,117.5
logBeacons,240,1573,827,241.7,16.00,0.07,6.68,109.9
logBeacons,250,1571,1021,251.5,17.27,0.06,7.39,118.3
logBeacons,260,1581,1107,260.9,17.71,0.09,7.68,118.5
logBeacons,270,1525,1259,270.6,18.96,0.07,8.42,119.2
logBeacons,280,1519,1361,280.0,20.55,0.06,9.08,113.4
logBeacons,290,1537,1439,288.6,21.30,0.06,9.38,116.4
logBeacons,300,1540,1532,299.2,22.09,0.07,9.65,119.0
logBeacons,30,384,0,38.6,0.63,0.28,0.46,37.5
logBeacons,310,1613,1555,307.8,22.62,0.08,10.03,119.9
logBeacons,320,1589,1675,319.1,23.51,0.07,10.27,120.6
logBeacons,330,1609,1751,327.4,22.84,0.10,10.05,127.1
logBeacons,340,1556,1900,337.9,24.72,0.07,11.03,122.7
logBeacons,350,1549,2003,347.0,25.10,0.07,11.09,125.2
logBeacons,360,1559,2089,356.2,28.09,0.08,12.43,117.4
logBeacons,370,1572,2172,366.2,27.12,0.08,12.33,124.2
logBeacons,380,1516,2324,375.1,29.04,0.10,13.28,117.4
logBeacons,390,1587,2349,384.5,29.55,0.08,13.29,120.7
