Test,TargetSendRate,Success,Fail,SendRate,MaxLatency,MinLatency,AvgLatency,Throughput
requestPermits,1000,2022,8058,964.3,0.81,0.32,0.47,947.6
requestPermits,100,1056,0,105.4,0.58,0.14,0.36,103.8
requestPermits,125,1344,0,129.7,0.58,0.17,0.37,127.4
requestPermits,150,1536,0,153.4,0.58,0.15,0.37,151.1
requestPermits,175,1735,89,178.9,0.59,0.23,0.40,174.8
requestPermits,2000,1085,18979,1194.2,8.55,0.23,2.51,1178.6
requestPermits,200,1785,231,202.6,0.59,0.06,0.31,196.5
requestPermits,225,1920,384,226.2,0.58,0.07,0.30,224.6
requestPermits,2500,1105,23951,1295.2,15.75,0.27,2.71,1276.7
requestPermits,250,1967,625,250.5,0.57,0.12,0.32,243.3
requestPermits,25,288,0,35.6,0.57,0.15,0.37,35.0
requestPermits,275,1922,862,273.9,0.57,0.14,0.33,261.9
requestPermits,3000,1200,28848,1307.8,17.43,0.20,2.86,1288.6
requestPermits,300,1963,1109,297.6,0.57,0.16,0.35,288.9
requestPermits,325,1920,1344,322.1,0.58,0.19,0.36,307.2
requestPermits,3500,1668,33372,1288.7,11.46,0.25,2.61,1264.2
requestPermits,350,1946,1606,346.4,0.60,0.21,0.37,333.9
requestPermits,375,1968,1872,369.3,0.60,0.18,0.38,360.8
requestPermits,4000,1873,38159,1294.6,12.21,0.23,2.86,1261.0
requestPermits,400,1931,2101,395.3,0.61,0.25,0.39,379.1
requestPermits,425,1972,2348,417.0,0.59,0.16,0.39,405.5
requestPermits,450,1943,2569,441.5,0.60,0.19,0.40,424.7
requestPermits,475,1957,2843,464.8,0.63,0.19,0.40,450.6
requestPermits,500,1978,3110,488.0,0.62,0.17,0.41,477.6
requestPermits,50,576,0,57.7,0.57,0.17,0.36,56.7
requestPermits,525,1951,3329,515.3,0.62,0.25,0.42,495.9
requestPermits,550,1958,3610,538.8,0.62,0.23,0.42,523.1
requestPermits,575,1962,3798,563.3,0.62,0.25,0.43,541.6
requestPermits,600,1969,4079,587.4,0.63,0.25,0.43,567.4
requestPermits,625,1986,4350,610.2,0.62,0.22,0.43,594.0
requestPermits,650,1938,4590,635.5,0.65,0.26,0.44,612.2
requestPermits,675,1952,4864,661.3,0.68,0.31,0.44,638.6
requestPermits,700,1932,5076,680.9,0.66,0.24,0.44,657.1
requestPermits,725,1973,5323,706.7,0.68,0.25,0.44,683.0
requestPermits,750,1972,5612,733.5,0.67,0.30,0.45,709.6
requestPermits,75,768,0,81.9,0.58,0.15,0.36,80.6
requestPermits,775,1965,5811,754.1,0.65,0.25,0.45,728.0
requestPermits,800,1942,6122,781.8,0.71,0.33,0.46,753.3
requestPermits,825,1937,6319,800.5,0.69,0.27,0.46,771.8
requestPermits,850,1952,6592,828.4,0.70,0.31,0.46,798.1
requestPermits,875,1953,6879,852.5,0.72,0.33,0.46,824.6
requestPermits,900,1976,7048,870.2,0.90,0.27,0.46,842.5
requestPermits,925,1976,7336,896.3,0.80,0.30,0.46,868.7
requestPermits,950,2010,7494,911.5,0.79,0.25,0.46,889.9
requestPermits,975,2025,7767,937.5,0.82,0.30,0.46,919.0
