test,requested rate (tps),succ,fail,send rate (tps),max latency (s),min latency (s),avg latency (s),throughput (tps)
requestPermits,1000,2022,8058,964.3,0.81,0.32,0.47,947.6
requestPermits,100,1056,0,105.4,0.58,0.14,0.36,103.8
requestPermits,125,1344,0,129.7,0.58,0.17,0.37,127.4
requestPermits,150,1536,0,153.4,0.58,0.15,0.37,151.1
requestPermits,175,1735,89,178.9,0.59,0.23,0.40,174.8
requestPermits,200,1785,231,202.6,0.59,0.06,0.31,196.5
requestPermits,225,1920,384,226.2,0.58,0.07,0.30,224.6
requestPermits,250,1967,625,250.5,0.57,0.12,0.32,243.3
requestPermits,25,288,0,35.6,0.57,0.15,0.37,35.0
requestPermits,275,1922,862,273.9,0.57,0.14,0.33,261.9
requestPermits,300,1963,1109,297.6,0.57,0.16,0.35,288.9
requestPermits,325,1920,1344,322.1,0.58,0.19,0.36,307.2
requestPermits,350,1946,1606,346.4,0.60,0.21,0.37,333.9
requestPermits,375,1968,1872,369.3,0.60,0.18,0.38,360.8
requestPermits,400,1931,2101,395.3,0.61,0.25,0.39,379.1
requestPermits,425,1972,2348,417.0,0.59,0.16,0.39,405.5
requestPermits,450,1943,2569,441.5,0.60,0.19,0.40,424.7
requestPermits,475,1957,2843,464.8,0.63,0.19,0.40,450.6
requestPermits,500,1978,3110,488.0,0.62,0.17,0.41,477.6
requestPermits,50,576,0,57.7,0.57,0.17,0.36,56.7
requestPermits,525,1951,3329,515.3,0.62,0.25,0.42,495.9
requestPermits,550,1958,3610,538.8,0.62,0.23,0.42,523.1
requestPermits,575,1962,3798,563.3,0.62,0.25,0.43,541.6
requestPermits,600,1969,4079,587.4,0.63,0.25,0.43,567.4
requestPermits,625,1986,4350,610.2,0.62,0.22,0.43,594.0
requestPermits,650,1938,4590,635.5,0.65,0.26,0.44,612.2
requestPermits,675,1952,4864,661.3,0.68,0.31,0.44,638.6
requestPermits,700,1932,5076,680.9,0.66,0.24,0.44,657.1
requestPermits,725,1973,5323,706.7,0.68,0.25,0.44,683.0
requestPermits,750,1972,5612,733.5,0.67,0.30,0.45,709.6
requestPermits,75,768,0,81.9,0.58,0.15,0.36,80.6
requestPermits,775,1965,5811,754.1,0.65,0.25,0.45,728.0
requestPermits,800,1942,6122,781.8,0.71,0.33,0.46,753.3
requestPermits,825,1937,6319,800.5,0.69,0.27,0.46,771.8
requestPermits,850,1952,6592,828.4,0.70,0.31,0.46,798.1
requestPermits,875,1953,6879,852.5,0.72,0.33,0.46,824.6
requestPermits,900,1976,7048,870.2,0.90,0.27,0.46,842.5
requestPermits,925,1976,7336,896.3,0.80,0.30,0.46,868.7
requestPermits,950,2010,7494,911.5,0.79,0.25,0.46,889.9
requestPermits,975,2025,7767,937.5,0.82,0.30,0.46,919.0
requestPermits,1000,2034,8046,969.8,0.80,0.34,0.47,939.5
requestPermits,100,1056,0,105.6,0.57,0.16,0.36,103.9
requestPermits,125,1344,0,129.6,0.58,0.17,0.37,127.4
requestPermits,150,1536,0,154.0,0.58,0.17,0.37,151.2
requestPermits,175,1375,449,178.2,2.10,0.18,0.60,174.9
requestPermits,200,1804,212,202.4,0.59,0.07,0.32,196.5
requestPermits,225,1912,392,226.7,0.59,0.06,0.30,224.7
requestPermits,250,1943,649,250.7,0.58,0.11,0.32,241.7
requestPermits,25,288,0,35.7,0.58,0.15,0.36,35.0
requestPermits,275,1920,864,275.2,0.63,0.14,0.34,261.6
requestPermits,300,1950,1122,298.9,0.58,0.17,0.35,288.5
requestPermits,325,1920,1344,321.3,0.58,0.17,0.36,307.3
requestPermits,350,1962,1590,344.1,0.57,0.13,0.37,333.8
requestPermits,375,1912,1928,369.0,1.11,0.16,0.39,360.2
requestPermits,400,1928,2104,395.8,0.61,0.26,0.39,379.3
requestPermits,425,1970,2350,418.4,0.59,0.20,0.39,406.3
requestPermits,450,1934,2578,442.4,0.64,0.24,0.40,423.9
requestPermits,475,1949,2851,466.3,0.63,0.23,0.41,451.3
requestPermits,500,1978,3110,492.8,0.60,0.26,0.41,478.1
requestPermits,50,576,0,57.7,0.58,0.17,0.38,56.6
requestPermits,525,1941,3339,517.3,0.63,0.28,0.42,496.1
requestPermits,550,1962,3606,539.4,0.63,0.25,0.42,522.5
requestPermits,575,1947,3813,562.5,0.62,0.22,0.43,541.7
requestPermits,600,1962,4086,588.5,0.64,0.27,0.43,568.2
requestPermits,625,1973,4363,612.9,0.66,0.28,0.43,594.4
requestPermits,650,1952,4576,636.7,0.65,0.25,0.44,612.4
requestPermits,675,1961,4855,657.7,0.63,0.21,0.44,639.3
requestPermits,700,1962,5046,682.8,0.66,0.26,0.44,657.5
requestPermits,725,1950,5346,708.5,0.70,0.28,0.44,683.3
requestPermits,750,1982,5602,730.0,0.67,0.25,0.45,707.7
requestPermits,75,768,0,82.1,0.58,0.16,0.38,80.7
requestPermits,775,1966,5810,754.8,0.68,0.27,0.45,727.5
requestPermits,800,1966,6098,777.6,0.69,0.27,0.45,753.2
requestPermits,825,1948,6308,801.3,0.69,0.28,0.45,771.9
requestPermits,850,1963,6581,823.4,0.68,0.24,0.46,797.6
requestPermits,875,1969,6863,848.2,0.71,0.27,0.46,824.6
requestPermits,900,1959,7065,869.2,0.81,0.26,0.46,840.2
requestPermits,925,1971,7341,895.0,0.73,0.27,0.46,871.1
requestPermits,950,1991,7513,917.1,0.81,0.28,0.47,890.4
requestPermits,975,2009,7783,935.5,0.86,0.34,0.46,914.6
requestPermits,1000,2046,8034,967.3,0.80,0.29,0.46,947.7
requestPermits,100,1056,0,106.1,0.57,0.20,0.39,103.9
requestPermits,125,1344,0,130.1,0.57,0.21,0.40,127.3
requestPermits,150,1536,0,154.3,0.57,0.20,0.38,151.2
requestPermits,175,1767,57,178.7,0.61,0.22,0.40,174.7
requestPermits,200,1771,245,202.7,0.61,0.07,0.32,196.3
requestPermits,225,1917,387,227.0,0.57,0.07,0.30,223.9
requestPermits,250,1957,635,250.7,0.58,0.11,0.32,243.0
requestPermits,25,288,0,35.9,0.57,0.22,0.41,34.9
requestPermits,275,1920,864,275.0,0.58,0.15,0.33,261.9
requestPermits,300,1946,1126,298.9,0.58,0.18,0.35,288.5
requestPermits,325,1920,1344,323.6,0.58,0.20,0.36,319.9
requestPermits,350,1936,1616,347.3,0.59,0.22,0.37,333.8
requestPermits,375,1950,1890,372.6,0.73,0.14,0.38,359.2
requestPermits,400,1930,2102,395.3,0.59,0.23,0.39,378.7
requestPermits,425,1966,2354,418.3,0.61,0.21,0.39,405.8
requestPermits,450,1948,2564,442.1,0.60,0.21,0.40,424.5
requestPermits,475,1957,2843,464.0,0.60,0.14,0.40,451.5
requestPermits,500,1988,3100,490.6,0.62,0.23,0.41,477.7
requestPermits,50,576,0,57.9,0.58,0.22,0.40,56.7
requestPermits,525,1959,3321,515.1,0.63,0.24,0.42,495.7
requestPermits,550,1977,3591,540.5,0.61,0.26,0.42,522.8
requestPermits,575,1959,3801,561.3,0.62,0.21,0.43,540.9
requestPermits,600,1953,4095,587.9,0.63,0.26,0.43,567.2
requestPermits,625,1983,4353,610.2,0.63,0.23,0.43,593.7
requestPermits,650,1968,4560,634.8,0.65,0.26,0.44,612.0
requestPermits,675,1961,4855,661.1,0.68,0.30,0.44,638.2
requestPermits,700,1951,5057,683.4,0.66,0.28,0.44,657.3
requestPermits,725,1961,5335,706.2,0.69,0.27,0.45,682.8
requestPermits,750,1961,5623,731.1,0.64,0.25,0.45,707.7
requestPermits,75,768,0,82.5,0.57,0.21,0.39,80.6
requestPermits,775,1964,5812,754.4,0.65,0.24,0.45,729.0
requestPermits,800,1954,6110,781.5,0.71,0.32,0.45,754.6
requestPermits,825,1946,6310,801.2,0.69,0.25,0.45,772.6
requestPermits,850,1961,6583,825.3,0.69,0.26,0.46,796.9
requestPermits,875,1963,6869,846.0,0.86,0.28,0.46,823.9
requestPermits,900,1974,7050,870.8,0.81,0.27,0.46,842.9
requestPermits,925,1966,7346,895.5,0.82,0.30,0.46,870.4
requestPermits,950,2014,7490,924.8,0.74,0.27,0.46,891.6
requestPermits,975,2045,7747,939.2,0.79,0.31,0.46,920.2
